trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
367,False,"{'a': 0.6, 'e': 0.004127844174255437}",30,2,41.622327597156165,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.6, 'e': 0.004066388580879978}",20,0,29.076052756731965,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.6, 'e': 0.004005847942090421}",25,12,27.103818091981974,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.6, 'e': 0.003946208635987629}",30,18,23.5445685712851,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.6, 'e': 0.0038874572434761316}",20,0,32.7424127426971,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
372,False,"{'a': 0.6, 'e': 0.0038295805452447486}",25,0,35.020009730518304,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
373,False,"{'a': 0.6, 'e': 0.003772565518792206}",25,18,15.066563307421696,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.6, 'e': 0.003716399335497026}",20,3,26.000819860995538,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.6, 'e': 0.0036610693577310096}",25,17,13.6074827001081,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.6, 'e': 0.003606563136015732}",20,0,37.59729914220402,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.6, 'e': 0.003552868406221363}",20,15,10.800565927977107,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.6, 'e': 0.00349997308680717}",20,11,15.06345460491069,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.6, 'e': 0.0034478652761031274}",20,0,31.790839161749563,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.6, 'e': 0.0033965332496320023}",20,12,17.61221014260079,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
